date,sales,category,region
2024-01-01,1172,Electronics,West
2024-01-02,1017,Clothing,West
2024-01-03,1131,Food,West
2024-01-04,1198,Home,West
2024-01-05,1191,Electronics,South
2024-01-06,1211,Clothing,East
2024-01-07,1059,Food,North
2024-01-08,1214,Home,North
2024-01-09,1152,Electronics,South
2024-01-10,1061,Clothing,South
2024-01-11,1114,Food,South
2024-01-12,1248,Home,South
2024-01-13,1241,Electronics,East
2024-01-14,1098,Clothing,South
2024-01-15,1076,Food,South
2024-01-16,1275,Home,West
2024-01-17,1208,Electronics,South
2024-01-18,1095,Clothing,South
2024-01-19,1123,Food,West
2024-01-20,1154,Home,East
2024-01-21,1264,Electronics,East
2024-01-22,1208,Clothing,West
2024-01-23,1151,Food,East
2024-01-24,1127,Home,East
2024-01-25,1305,Electronics,North
2024-01-26,1146,Clothing,South
2024-01-27,1280,Food,West
2024-01-28,1229,Home,East
2024-01-29,1168,Electronics,South
2024-01-30,1197,Clothing,South
2024-01-31,1277,Food,East
2024-02-01,1346,Home,North
2024-02-02,1254,Electronics,West
2024-02-03,1356,Clothing,South
2024-02-04,1281,Food,East
2024-02-05,1348,Home,South
2024-02-06,1178,Electronics,East
2024-02-07,1192,Clothing,North
2024-02-08,1229,Food,East
2024-02-09,1225,Home,North
2024-02-10,1369,Electronics,East
2024-02-11,1220,Clothing,East
2024-02-12,1242,Food,North
2024-02-13,1247,Home,South
2024-02-14,1260,Electronics,South
2024-02-15,1362,Clothing,East
2024-02-16,1326,Food,West
2024-02-17,1302,Home,East
2024-02-18,1289,Electronics,East
2024-02-19,1348,Clothing,East
2024-02-20,1273,Food,East
2024-02-21,1278,Home,East
2024-02-22,1342,Electronics,North
2024-02-23,1279,Clothing,East
2024-02-24,1242,Food,South
2024-02-25,1421,Home,South
2024-02-26,1317,Electronics,East
2024-02-27,1281,Clothing,North
2024-02-28,1299,Food,East
2024-02-29,1275,Home,South
2024-03-01,1297,Electronics,South
2024-03-02,1302,Clothing,North
2024-03-03,1410,Food,West
2024-03-04,1432,Home,South
2024-03-05,1353,Electronics,East
2024-03-06,1468,Clothing,South
2024-03-07,1272,Food,East
2024-03-08,1415,Home,West
2024-03-09,1284,Electronics,South
2024-03-10,1343,Clothing,East
2024-03-11,1396,Food,East
2024-03-12,1417,Home,North
2024-03-13,1402,Electronics,West
2024-03-14,1467,Clothing,West
2024-03-15,1435,Food,South
2024-03-16,1388,Home,South
2024-03-17,1432,Electronics,South
2024-03-18,1325,Clothing,North
2024-03-19,1449,Food,North
2024-03-20,1396,Home,West
2024-03-21,1446,Electronics,West
2024-03-22,1438,Clothing,North
2024-03-23,1471,Food,North
2024-03-24,1446,Home,West
2024-03-25,1323,Electronics,West
2024-03-26,1430,Clothing,East
2024-03-27,1466,Food,West
2024-03-28,1462,Home,South
2024-03-29,1443,Electronics,South
2024-03-30,1486,Clothing,West
2024-03-31,1485,Food,East
2024-04-01,1439,Home,North
2024-04-02,1493,Electronics,South
2024-04-03,1404,Clothing,West
2024-04-04,1471,Food,West
2024-04-05,1385,Home,West
2024-04-06,1399,Electronics,East
2024-04-07,1309,Clothing,South
2024-04-08,1373,Food,North
2024-04-09,1299,Home,East
2024-04-10,1359,Electronics,South
2024-04-11,1343,Clothing,South
2024-04-12,1311,Food,South
2024-04-13,1331,Home,East
2024-04-14,1415,Electronics,South
2024-04-15,1405,Clothing,North
2024-04-16,1420,Food,South
2024-04-17,1446,Home,South
2024-04-18,1393,Electronics,North
2024-04-19,1305,Clothing,South
2024-04-20,1429,Food,West
2024-04-21,1364,Home,East
2024-04-22,1376,Electronics,East
2024-04-23,1288,Clothing,East
2024-04-24,1299,Food,East
2024-04-25,1400,Home,East
2024-04-26,1327,Electronics,West
2024-04-27,1354,Clothing,South
2024-04-28,1452,Food,North
2024-04-29,1305,Home,East
2024-04-30,1298,Electronics,South
2024-05-01,1279,Clothing,South
2024-05-02,1294,Food,East
2024-05-03,1433,Home,South
2024-05-04,1289,Electronics,West
2024-05-05,1361,Clothing,West
2024-05-06,1443,Food,West
2024-05-07,1263,Home,South
2024-05-08,1292,Electronics,North
2024-05-09,1346,Clothing,West
2024-05-10,1362,Food,West
2024-05-11,1369,Home,East
2024-05-12,1261,Electronics,West
2024-05-13,1420,Clothing,North
2024-05-14,1423,Food,West
2024-05-15,1339,Home,West
2024-05-16,1410,Electronics,South
2024-05-17,1222,Clothing,East
